seed,repeat,panel,dropped_modality,drop_rate,method,metric,value
2,7,"Panel A: molecular available, drop WSI",wsi,0.4,HONeYBEE raw late,balanced_accuracy,0.5870975159286413
2,7,"Panel A: molecular available, drop WSI",wsi,0.4,Concat mean impute,balanced_accuracy,0.5591312988980877
2,7,"Panel A: molecular available, drop WSI",wsi,0.4,Masked fusion,balanced_accuracy,0.4459635676392774
2,7,"Panel A: molecular available, drop WSI",wsi,0.4,Modality dropout fusion,balanced_accuracy,0.6413486977919504
2,8,"Panel A: molecular available, drop WSI",wsi,0.4,RePercENT,balanced_accuracy,0.7290548556890134
2,8,"Panel A: molecular available, drop WSI",wsi,0.4,HONeYBEE raw late,balanced_accuracy,0.5840883397290664
2,8,"Panel A: molecular available, drop WSI",wsi,0.4,Concat mean impute,balanced_accuracy,0.5622186511168642
2,8,"Panel A: molecular available, drop WSI",wsi,0.4,Masked fusion,balanced_accuracy,0.45960684257498985
2,8,"Panel A: molecular available, drop WSI",wsi,0.4,Modality dropout fusion,balanced_accuracy,0.6338572357992347
2,9,"Panel A: molecular available, drop WSI",wsi,0.4,RePercENT,balanced_accuracy,0.7189573737108307
