component,eval,mean,std
S_wsi_mol,TCGA-GBM,0.39661016949152544,0.018372443549727797
S_wsi_mol,TCGA-HNSC,0.2711538461538462,0.03070907581282944
S_wsi_mol,TCGA-KIRC,0.6168224299065421,0.02724743876095935
S_wsi_mol,TCGA-LGG,0.24509803921568624,0.02192223507352735
S_wsi_mol,TCGA-LUAD,0.262,0.022803508501982758
S_wsi_mol,TCGA-LUSC,0.2061224489795918,0.02436191099247617
S_wsi_mol,TCGA-OV,0.4672413793103448,0.024685898384959236
S_wsi_mol,TCGA-PRAD,0.35000000000000003,0.02549509756796392
S_wsi_path,overall,0.44829991281604187,0.0073307142143253365
S_wsi_path,TCGA-BRCA,0.8074418604651162,0.02095605642059312
S_wsi_path,TCGA-COAD,0.3839080459770115,0.03409746430848581
S_wsi_path,TCGA-GBM,0.4016949152542373,0.019509939717324298
S_wsi_path,TCGA-HNSC,0.28076923076923077,0.028361310007216593
S_wsi_path,TCGA-KIRC,0.6299065420560748,0.022507653418303356
S_wsi_path,TCGA-LGG,0.27058823529411763,0.037073863531743224
S_wsi_path,TCGA-LUAD,0.262,0.010954451150103331
S_wsi_path,TCGA-LUSC,0.22653061224489796,0.015135098953256453
S_wsi_path,TCGA-OV,0.4413793103448276,0.025427381385780396
S_wsi_path,TCGA-PRAD,0.36000000000000004,0.019999999999999997
U_clin_mol,overall,1.0,0.0
U_clin_mol,TCGA-BRCA,1.0,0.0
U_clin_mol,TCGA-COAD,1.0,0.0
U_clin_mol,TCGA-GBM,1.0,0.0
U_clin_mol,TCGA-HNSC,1.0,0.0
U_clin_mol,TCGA-KIRC,1.0,0.0
U_clin_mol,TCGA-LGG,1.0,0.0
U_clin_mol,TCGA-LUAD,1.0,0.0
U_clin_mol,TCGA-LUSC,1.0,0.0
U_clin_mol,TCGA-OV,1.0,0.0
U_clin_mol,TCGA-PRAD,1.0,0.0
U_clin_path,overall,1.0,0.0
U_clin_path,TCGA-BRCA,1.0,0.0
U_clin_path,TCGA-COAD,1.0,0.0
U_clin_path,TCGA-GBM,1.0,0.0
U_clin_path,TCGA-HNSC,1.0,0.0
U_clin_path,TCGA-KIRC,1.0,0.0
U_clin_path,TCGA-LGG,1.0,0.0
U_clin_path,TCGA-LUAD,1.0,0.0
U_clin_path,TCGA-LUSC,1.0,0.0
U_clin_path,TCGA-OV,1.0,0.0
U_clin_path,TCGA-PRAD,1.0,0.0
U_clin_wsi,overall,1.0,0.0
U_clin_wsi,TCGA-BRCA,1.0,0.0
U_clin_wsi,TCGA-COAD,1.0,0.0
U_clin_wsi,TCGA-GBM,1.0,0.0
U_clin_wsi,TCGA-HNSC,1.0,0.0
U_clin_wsi,TCGA-KIRC,1.0,0.0
U_clin_wsi,TCGA-LGG,1.0,0.0
U_clin_wsi,TCGA-LUAD,1.0,0.0
U_clin_wsi,TCGA-LUSC,1.0,0.0
U_clin_wsi,TCGA-OV,1.0,0.0
U_clin_wsi,TCGA-PRAD,1.0,0.0
U_mol_clin,overall,0.6744551002615519,0.008376014733723063
U_mol_clin,TCGA-BRCA,0.6753488372093024,0.008320252939534077
U_mol_clin,TCGA-COAD,0.33103448275862074,0.035798647131948136
U_mol_clin,TCGA-GBM,0.9796610169491526,0.00464171658902688
U_mol_clin,TCGA-HNSC,0.6653846153846154,0.01849556159776094
U_mol_clin,TCGA-KIRC,0.6037383177570093,0.028500842396218518
U_mol_clin,TCGA-LGG,0.4980392156862745,0.023406541933947686
U_mol_clin,TCGA-LUAD,0.504,0.03049590136395384
U_mol_clin,TCGA-LUSC,0.6612244897959184,0.03845192588044239
U_mol_clin,TCGA-OV,0.803448275862069,0.014165238556168093
U_mol_clin,TCGA-PRAD,0.9100000000000001,0.007071067811865481
U_mol_path,overall,0.6763731473408894,0.008416752143781805
U_mol_path,TCGA-BRCA,0.6762790697674419,0.01256674984754075
U_mol_path,TCGA-COAD,0.3471264367816092,0.022109636852495795
U_mol_path,TCGA-GBM,0.9830508474576272,0.0
U_mol_path,TCGA-HNSC,0.6653846153846154,0.020845657104498858
U_mol_path,TCGA-KIRC,0.611214953271028,0.01417359896084402
U_mol_path,TCGA-LGG,0.49215686274509807,0.018858219668305254
U_mol_path,TCGA-LUAD,0.5039999999999999,0.03361547262794325
U_mol_path,TCGA-LUSC,0.6632653061224489,0.03226813938947325
U_mol_path,TCGA-OV,0.8017241379310345,0.006095748113677107
U_mol_path,TCGA-PRAD,0.9099999999999999,1.2412670766236366e-16
U_mol_wsi,overall,0.6807323452484744,0.009172978857933847
U_mol_wsi,TCGA-BRCA,0.6902325581395349,0.01492726189384299
U_mol_wsi,TCGA-COAD,0.3471264367816092,0.04626347539654736
U_mol_wsi,TCGA-GBM,0.9813559322033898,0.003789945724575954
U_mol_wsi,TCGA-HNSC,0.6557692307692308,0.018495561597760914
U_mol_wsi,TCGA-KIRC,0.6093457943925233,0.0241909889823267
U_mol_wsi,TCGA-LGG,0.5019607843137255,0.014541565660971891
U_mol_wsi,TCGA-LUAD,0.514,0.018165902124584965
U_mol_wsi,TCGA-LUSC,0.6734693877551019,0.029749754565537242
U_mol_wsi,TCGA-OV,0.8051724137931036,0.011565868849136825
U_mol_wsi,TCGA-PRAD,0.9099999999999999,1.2412670766236366e-16
U_path_clin,overall,0.937227550130776,0.0037499238304457994
U_path_clin,TCGA-BRCA,0.9916279069767441,0.006898789290321568
U_path_clin,TCGA-COAD,0.9655172413793103,0.014077527257374616
U_path_clin,TCGA-GBM,0.9169491525423729,0.01837244354972779
U_path_clin,TCGA-HNSC,0.9711538461538461,0.006799103665255241
U_path_clin,TCGA-KIRC,0.9906542056074766,0.0
U_path_clin,TCGA-LGG,0.9431372549019608,0.008202549279745808
U_path_clin,TCGA-LUAD,0.8300000000000001,0.028284271247461888
U_path_clin,TCGA-LUSC,0.7714285714285715,0.02561204162859414
U_path_clin,TCGA-OV,0.9362068965517242,0.013073923179399219
U_path_clin,TCGA-PRAD,0.992,0.008366600265340763
U_path_mol,overall,0.9417611159546644,0.004546958957421179
U_path_mol,TCGA-BRCA,0.9925581395348836,0.009066785437031615
U_path_mol,TCGA-COAD,0.9655172413793103,0.014077527257374616
U_path_mol,TCGA-GBM,0.923728813559322,0.02160601488810504
U_path_mol,TCGA-HNSC,0.9692307692307693,0.014261920167491685
U_path_mol,TCGA-KIRC,0.9906542056074766,0.0
U_path_mol,TCGA-LGG,0.9647058823529411,0.013153341044116421
U_path_mol,TCGA-LUAD,0.836,0.021908902300206617
U_path_mol,TCGA-LUSC,0.7775510204081633,0.02641261041947915
U_path_mol,TCGA-OV,0.9448275862068967,0.020761369963434986
U_path_mol,TCGA-PRAD,0.992,0.004472135954999583
U_path_wsi,overall,0.942458587619878,0.0030201409024740652
U_path_wsi,TCGA-BRCA,0.9944186046511628,0.0038914419838794096
U_path_wsi,TCGA-COAD,0.9701149425287356,0.010280772310343892
U_path_wsi,TCGA-GBM,0.9237288135593221,0.008474576271186418
